STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_CONF,OBS_VALUE,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,IRL,E_ID_USED,_T,Y15T24,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,75.3400435280421,Triennial,Ireland,Online digital ID has been used on phone or computer to confirm identity online,Total,15 to 24 years old,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,IRL,E_ID_USED,_T,Y_GE25,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,69.1139780735065,Triennial,Ireland,Online digital ID has been used on phone or computer to confirm identity online,Total,25 years old and over,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,IRL,E_ID_USED,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,68.8587567907218,Triennial,Ireland,Online digital ID has been used on phone or computer to confirm identity online,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,IRL,E_ID_USED,_T,_T,_T,PT_RESP_SUB,LFP_INWORK,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,72.286269120599,Triennial,Ireland,Online digital ID has been used on phone or computer to confirm identity online,Total,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Employment: In the workforce/labor force,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,IRL,E_ID_USED,M,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,71.0214047544832,Triennial,Ireland,Online digital ID has been used on phone or computer to confirm identity online,Male,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,IRL,E_ID_USED,_T,_T,_T,PT_RESP_SUB,LFP_OUTWORK,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,66.9832835512565,Triennial,Ireland,Online digital ID has been used on phone or computer to confirm identity online,Total,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Employment: Out of the workforce/labor force,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,IRL,E_ID_USED,_T,_T,_T,PT_RESP_SUB,_T,_T,INCOME_Q1T2,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,67.2733992372882,Triennial,Ireland,Online digital ID has been used on phone or computer to confirm identity online,Total,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Income Level: Poorest 40%,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,IRL,E_ID_USED,_T,_T,_T,PT_RESP_SUB,_T,_T,INCOME_GE_Q3,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,71.6575736222734,Triennial,Ireland,Online digital ID has been used on phone or computer to confirm identity online,Total,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Income Level: Richest 60%,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,IRL,E_ID_USED,_T,_T,RUR,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,71.0675797239082,Triennial,Ireland,Online digital ID has been used on phone or computer to confirm identity online,Total,All age ranges or no breakdown by age,Rural area,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,IRL,E_ID_USED,_T,_T,_T,PT_RESP_SUB,_T,ISCED11_GE_2_3,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,70.0130587565389,Triennial,Ireland,Online digital ID has been used on phone or computer to confirm identity online,Total,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Education: Secondary education or more,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,IRL,E_ID_USED,_T,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,69.9582857928568,Triennial,Ireland,Online digital ID has been used on phone or computer to confirm identity online,Total,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,IRL,E_ID_USED,_T,_T,URB,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,68.2580363614322,Triennial,Ireland,Online digital ID has been used on phone or computer to confirm identity online,Total,All age ranges or no breakdown by age,Urban area,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,ITA,E_ID_USED,_T,Y15T24,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,91.2898319948601,Triennial,Italy,Online digital ID has been used on phone or computer to confirm identity online,Total,15 to 24 years old,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,ITA,E_ID_USED,_T,Y_GE25,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,74.065727071088,Triennial,Italy,Online digital ID has been used on phone or computer to confirm identity online,Total,25 years old and over,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,ITA,E_ID_USED,F,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,75.8480300898373,Triennial,Italy,Online digital ID has been used on phone or computer to confirm identity online,Female,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,ITA,E_ID_USED,_T,_T,_T,PT_RESP_SUB,LFP_INWORK,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,87.3479427115194,Triennial,Italy,Online digital ID has been used on phone or computer to confirm identity online,Total,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Employment: In the workforce/labor force,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,ITA,E_ID_USED,M,_T,_T,PT_RESP_SUB,_T,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,76.7685692791441,Triennial,Italy,Online digital ID has been used on phone or computer to confirm identity online,Male,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,ITA,E_ID_USED,_T,_T,_T,PT_RESP_SUB,LFP_OUTWORK,_T,_T,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,58.6180875521028,Triennial,Italy,Online digital ID has been used on phone or computer to confirm identity online,Total,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Employment: Out of the workforce/labor force,Total,Total,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,ITA,E_ID_USED,_T,_T,_T,PT_RESP_SUB,_T,_T,INCOME_Q1T2,2024,W_AVG,NUMBER,0,WB_ID4D,602,0,PU,77.213118506166,Triennial,Italy,Online digital ID has been used on phone or computer to confirm identity online,Total,All age ranges or no breakdown by age,Total,Percentage of respondents in the same subgroup,Total,Total,Income Level: Poorest 40%,Weighted Average,Number (real number),Zero,Identification for Development (ID4D) Global Dataset,CCYY,Units,Public
